7:49893,77960,3,239,395,726,837,1567,2361,2868,5025,5312,5584,5889,6284,8074,9480,12482,12632,13681
18:109,138,366,380,449,521,635,786,1153,1186,1510,1622,1929,2163,2700,2803,3013,3424,3886,3965
19:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36:131,287,1825,4604,5699,7620,12662,17033,18756,27231,27233,28759,45793,47687,49463,63527,77327,79649,86818,91927
37:58617,114815,4213,10484,11395,16495,17607,19647,21303,21619,24758,28863,35394,35510,43213,44390,45596,48280,52828,55488
41:3335,30404,32263,46720,51903,54024,62614,68384,69323,79154,93877,94675,5140,21302,42499,60917,78339,100143,111251,120866
42:6303,7031,7736,18872,40496,51645,59899,63621,361,4068,6632,13390,30906,55906,75000,75002,84709,335,506,730
43:3131,6737,14951,17093,26425,32021,35659,50492,54076,60187,66177,67692,74621,87355,97590,103062,5859,7806,11506,13022
44:19428,28360,55574,76318,85984,92921,108197,3853,21135,28588,79186,84284,15605,19197,29753,33149,48897,49303,52108,56717
45:11953,42202,49912,56383,68566,112514,122643,10069,11557,14021,19829,39776,44494,58732,71102,73696,78352,115546,4858,11751
46:96,209,543,855,1109,3546,3680,4282,5219,5346,5414,5444,5643,6131,7814,8057,10110,10676,11127,22272
59:1629,6287,14005,18028,19635,20749,25296,28617,35861,42349,43748,48941,53285,53319,56851,58255,61804,62319,65195,80721
60:147,151,493,578,813,1811,1822,2535,2615,3067,4619,5343,5882,6511,6868,7059,7477,7974,8543,8964
69:1190,42352,7223,17370,38892,30,386,1362,1581,1886,2398,4311,5984,8183,8445,9088,10869,11039,12071,14922
70:60272,62991,89409,111846,21987,29469,32303,45550,76180,92816,99661,100277,115047,11560,23343,33549,34036,70198,86011,97868
94:1190,42352,17907,28699,32684,63846,66416,66658,68036,96502,101567,3862,4954,15875,16187,18186,31020,34113,41229,60879
106:3686,5944,20849,23372,24131,32357,63937,106160,116792,898,9245,22578,101659,3848,5269,16453,22133,37115,37768,72873
115:95,375,2115,2246,4697,4907,4967,7444,9580,9916,15487,17667,17983,24195,25163,30019,35101,49233,54100,66361
116:1143,21996,25852,26152,28329,43055,43482,56238,59732,69878,76226,76764,91964,93457,102309,107997,8749,25855,30955,35021
142:2137,4064,7666,10607,14880,15035,16108,25472,39592,41006,41397,59215,60028,70342,74080,86347,110901,1940,88303,345
143:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148:3854,4678,6800,12647,22518,34642,98540,8466,10884,37760,54507,86083,111783,123087,9042,10816,16386,35163,35960,36043
150:8411,15334,19369,29813,37496,4203,4828,9018,18362,20387,28235,50897,54929,610,1549,8016,9076,12011,16063,16260
156:227,3631,3781,4005,7821,16728,18835,19614,42258,42906,46980,49940,50037,55313,56569,57045,57601,60759,63694,66119
161:147,151,493,578,813,1811,1822,2535,2615,3067,4619,5343,5882,6511,6868,7059,7477,7974,8543,8964
171:1473,2324,3857,5119,8012,16322,17703,18166,20101,20341,24452,25663,26708,27833,38536,39992,43474,54678,55268,55276
172:7437,7682,11941,18558,22330,22452,23047,26333,28288,31103,31921,41067,49364,49958,57188,69998,82854,114917,117413,454
174:4608,20582,33107,68438,74620,82864,90200,103672,0,0,0,0,0,0,0,0,0,0,0,0
177:346,1464,5015,5753,6036,6420,6586,6897,7559,9304,10133,10410,10857,12629,14037,14247,17460,17895,19231,20822
196:7190,11573,14214,24288,24708,29522,39221,42381,50982,58672,61895,69864,75354,79104,87150,87734,90434,93451,94135,97150
202:16597,22026,51731,52044,74130,74272,75702,108442,110716,114779,1180,9445,10369,27161,36977,60327,62413,92099,49905,65289
211:8019,9212,9413,11670,28248,33619,44797,55244,10545,39348,97358,431,481,571,873,1288,1339,2134,2583,2620
217:10823,19246,28987,46497,77189,77477,91512,99603,183,1328,1902,2077,2100,3275,3955,4763,5583,6411,8483,9239
220:186,7649,10178,22713,40356,45641,64973,39446,58738,0,0,0,0,0,0,0,0,0,0,0
223:91,2408,49467,54052,57274,71558,9337,9831,13384,18365,18392,26550,31337,31454,32463,40539,41149,54540,68232,71706
224:4797,7126,14867,15627,15846,16254,24044,42197,45229,46643,51115,53543,55158,68162,87041,103161,0,0,0,0
225:346,1464,5015,5753,6036,6420,6586,6897,7559,9304,10133,10410,10857,12629,14037,14247,17460,17895,19231,20822
228:62051,107313,11480,74937,82627,42508,97764,112841,65405,97322,10330,11549,12279,19668,26799,27275,27729,32007,32442,39436
229:1913,40263,361,4068,6632,13390,30906,55906,75000,75002,84709,10894,29149,55089,62095,63076,71518,86201,94955,23
231:149,378,1458,2637,3735,3864,4485,4966,5450,5818,5827,6266,6857,8514,9368,11773,14000,15440,15997,29373
232:77322,10261,37449,41443,48256,48718,60364,62228,73208,77677,78975,83516,85366,86134,99135,100265,108129,109145,120622,0
238:806,825,1744,4767,9472,17118,18707,19804,24079,29366,30820,33656,39027,47077,49107,50346,57270,62576,65575,66145
241:66,690,1239,1869,2165,2897,3690,4054,4592,4627,4685,4909,5799,6599,7038,7800,7815,8100,8102,8286
245:40012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249:287,1825,4604,5699,7620,12266,12662,17033,18756,27231,27233,28759,45793,47687,49463,63527,77327,79649,86818,91927
250:96,209,543,855,1109,3546,3680,4282,5219,5346,5414,5444,5643,6131,7814,8057,10110,10676,11127,22272
253:5209,16297,16397,30164,36704,38304,41357,47076,47673,72157,96706,21287,41096,678,1796,2387,3204,3256,14713,15417
257:2447,3180,3634,3829,4126,4941,6098,8209,9322,10342,11132,11641,12841,13388,15395,16155,17198,18220,22703,24211
272:1102,1762,2570,5421,8688,10996,14136,14756,18274,19529,20631,21154,26834,27383,38636,40885,41190,42241,43722,47387
273:346,1464,5015,5753,6036,6420,6586,6897,7559,9304,10133,10410,10857,12629,14037,14247,17460,17895,19231,20822
288:454,2796,3255,4304,8699,9292,9694,14488,17029,17747,17911,18964,20052,23111,30688,31307,32603,33691,38095,38213
290:5859,7806,11506,13022,13826,19224,19257,19935,20899,21593,23492,28326,36526,40301,67829,83981,91246,582,1155,1376
291:12937,22061,23494,87013,88,1463,2257,4251,4753,5347,9581,11677,13113,13171,14556,15283,17250,17706,18663,18711
292:678,1796,2387,3256,3704,14713,15417,16313,26571,32311,34629,38705,79022,113877,1748,2236,21095,26037,28450,30827
294:19774,21343,56657,63993,96635,121540,1868,2034,5710,15119,18291,20150,29586,31121,39480,46189,51296,53169,59506,64522
328:3,239,395,726,837,1567,2361,2868,5025,5312,5584,5889,6284,8074,9480,12482,12632,13681,14330,14758
331:147,151,493,578,813,1811,1822,2535,2615,3067,4619,5343,5882,6511,6868,7059,7477,7974,8543,8964
345:1754,77581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361:14832,75562,3753,4963,5473,9801,11309,13002,13275,14083,14891,16742,18044,19522,22517,23192,25713,31550,42211,43029
376:2379,5935,13157,13613,15243,16685,18639,20462,20812,28464,32030,41568,42159,55285,59098,68278,77045,104404,106081,45
384:454,2796,3255,4304,8699,9292,9694,14488,17029,17747,17911,18964,20052,23111,30688,31307,32603,33691,38095,38213
401:1389,8151,8579,14108,57718,470,1338,3505,4008,4765,4816,4853,5060,5076,5701,6992,9059,9598,12915,13969
402:2611,18054,73247,81149,112450,73772,2210,2580,5871,6457,9992,12318,15140,17617,28094,40970,48066,49136,49759,52964
410:3140,23884,93630,113702,2412,3882,5776,9878,14078,16305,19138,19558,20226,21487,22343,22796,23294,23361,26643,28666
448:96,209,543,855,1109,3546,3680,4282,5219,5346,5414,5444,5643,6131,7814,8057,10110,10676,11127,22272
449:2137,4064,7666,10607,14880,15035,16108,25472,39592,41006,41397,59215,60028,70342,74080,86347,110901,361,4068,6632
450:8101,11889,13232,21364,31720,46149,48595,52781,56649,72898,85473,97374,116212,117133,121852,23,282,3570,6258,9755
452:5869,9250,13523,15250,16207,22576,23323,34941,51765,61594,69268,81553,87902,91404,92454,45412,112072,0,0,0
476:6051,9681,78610,245,561,3482,4793,5117,22340,22633,24568,26491,27999,29999,35840,42681,46773,62117,116595,2785
488:2224,3393,5064,7624,8022,10610,13180,15628,16097,17340,17694,17856,18473,21609,23250,23571,25330,26463,32372,32636
490:4797,7126,14867,15627,15846,16254,24044,42197,45229,46643,51115,53543,55158,68162,87041,103161,1520,3778,6913,12943
494:19715,497,827,1205,3618,3977,4991,5676,17682,19015,21260,21498,23713,23959,27055,27853,29458,41227,42713,47334
500:1912,4075,4092,4756,5080,5457,7135,7795,8197,8861,9230,10014,11210,11724,12253,14750,15223,20045,21171,22199
514:96,209,543,855,1109,3546,3680,4282,5219,5346,5414,5444,5643,6131,7814,8057,10110,10676,11127,22272
525:4464,11271,30338,32593,34587,47872,51553,57259,58626,75050,75480,75626,76283,83719,92557,92713,108141,117313,3086,13031
535:4278,9240,13684,17473,17831,20126,22424,22623,24089,28884,31698,2679,3958,5462,6171,7406,7691,8890,12389,20317
536:3,239,395,726,837,1567,2361,2868,5025,5312,5584,5889,6284,8074,9480,12482,12632,13681,14330,14758
538:1300,3208,11024,13851,15806,20268,32617,33111,43978,45529,58989,73490,78827,81644,107779,113038,116926,497,827,1205
539:6303,7031,7736,18872,40496,51645,59899,63621,12953,14223,17239,94345,106298,114252,246,1116,1897,2024,5996,8355
564:5859,7806,11506,13022,13826,19224,19257,19935,20899,21593,23492,28326,36526,40301,67829,83981,91246,1250,3241,18370
582:7437,7682,11941,18558,22330,22452,23047,26333,28288,31103,31921,41067,49364,49958,57188,69998,82854,114917,117413,1970
585:3197,15477,17143,769,4013,8532,10581,15836,16127,24720,28104,36065,39649,40538,49683,50248,50458,76293,30,386
590:153,591,861,917,1424,2158,11459,15583,16595,20440,8931,10142,14715,15377,21608,73435,76052,121011,483,490
601:18245,27912,31717,48912,67228,69110,75023,90054,90819,94414,105155,118676,121234,121660,0,0,0,0,0,0
618:221,5157,15055,15912,19471,20004,23754,28028,29833,31715,31975,32805,35466,38418,41462,49716,51649,56084,58633,59411
624:3190,15450,27045,27444,149,1458,2637,3735,3864,3915,4485,4966,5450,5818,5827,6266,6857,8514,9368,11773
627:9761,51158,77531,114599,42376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628:6526,21488,39233,65861,75280,84119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632:9042,10816,16386,35163,35960,36043,36398,40478,48807,52165,59620,67266,79189,103249,120767,36502,37442,61360,70671,91012
633:2447,3180,3634,3829,4126,4941,6098,8209,9322,10342,11132,11641,12841,13388,15395,16155,17198,18220,22703,24211
634:23933,28926,28953,90231,96720,116336,367,404,528,1514,1600,3908,5081,5348,7465,8473,12269,12332,14841,18912
646:1913,40263,45005,87163,2848,6198,26036,26519,48061,48307,49342,51936,52969,58169,63554,12055,78662,85560,96821,108576
666:2794,9871,10354,13566,14166,14911,16045,17575,17908,19171,20390,25184,27464,34824,38499,39892,41390,48834,48879,54897
667:5009,7530,7984,9287,36958,41245,46860,50665,55812,56035,56406,65037,79954,52,162,194,909,1140,1277,2062
669:14435,111861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678:5242,5922,8162,15556,17369,19412,29066,33249,33584,44029,46651,47276,51829,59329,64002,67670,93972,96507,97081,99114
680:1520,3778,6913,12943,14301,20657,21139,25781,26154,29113,34568,40796,41899,42913,43340,44706,56349,71062,73778,99060
681:4856,16269,20173,21433,22970,23042,30549,43342,47257,52955,61025,82065,82585,93623,105183,111391,120603,27327,31830,32611
682:11944,55316,99272,176,1066,1074,1435,1449,1551,1790,3085,3309,3407,3716,5771,6455,7793,8011,8211,9724
683:45128,112536,69187,71448,97127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
684:9983,11225,27758,46632,5111,10230,10232,10997,11592,15772,21739,37353,42506,42852,56839,69432,102325,5783,8470,24864
715:742,4585,6123,7658,10722,11946,12861,14375,15622,15800,16095,23367,26535,31045,36014,36908,41660,45298,50042,50678
716:454,2796,3255,7010,8699,9292,9694,14488,17029,17747,17911,18964,20052,23111,30688,31307,32603,33691,38095,38213
741:14435,111861,760,1124,2153,7180,7727,10020,14754,16650,20718,27784,29987,32802,48356,48465,51478,61648,64022,66245
750:1190,42352,792,5429,7029,13820,15157,16197,20296,20908,26719,26752,28043,32756,40127,43603,45209,48446,52924,55274
754:1455,3136,27826,35097,43204,45254,45291,45433,45594,49268,53165,65001,80956,85860,90232,92195,95339,113237,7437,7682
756:4278,9240,13684,17473,17831,20126,22424,22623,24089,28884,31698,1181,1752,1939,2338,2984,3981,5569,6292,7210
757:78102,107887,21258,33869,39269,44385,46646,60835,65091,71379,75453,78027,78045,95261,95292,103491,112686,64596,57938,23823
758:2447,3180,3634,3829,4126,4941,6098,8209,9322,10342,11132,11641,12841,13388,15395,16155,17198,18220,22703,24211
763:2575,2820,3629,9194,11110,11129,14263,17240,19588,20129,24736,25222,26818,27649,37998,38843,41005,41709,41710,42222
773:3141,4916,10256,12880,13958,18341,21186,26219,34246,35930,40618,45008,45190,55013,79951,83093,84754,97270,98873,101322
774:95,375,2115,2246,4697,4907,4967,7444,9580,9916,15487,17667,17983,24195,25163,30019,35101,49233,54100,66361
775:96,209,543,855,1109,3546,3680,4282,5219,5346,5414,5444,5643,6131,7814,8057,10110,10676,11127,22272
782:131,287,1825,4604,5699,7620,12662,17033,18756,27231,27233,28759,45793,47687,49463,63527,77327,79649,86818,91927
784:7437,7682,11941,18558,22330,22452,23047,26333,28288,31103,31921,41067,49364,49958,57188,69998,82854,114917,117413,96
793:15837,20501,56724,91615,29380,30757,44396,103933,104115,114589,246,1116,1897,2024,5996,8355,8457,8788,18578,1252
803:7437,7682,11941,18558,22330,22452,23047,26333,28288,31103,31921,41067,49364,49958,57188,69998,82854,114917,117413,3389
813:96,209,543,855,1109,3546,3680,4282,5219,5346,5414,5444,5643,6131,7814,8057,10110,10676,11127,22272
